1	46	95	77
2	66	88	85
3	74	87	80
4	36	73	71
5	76	25	69
6	76	82	68
7	13	91	78
8	66	80	90
9	83	80	42
10	30	71	83
11	54	95	74
12	67	78	100
13	81	93	67
14	0	83	79
15	34	92	59
16	68	80	66
17	59	83	50
18	73	80	24
19	75	65	68
20	57	77	52
21	77	88	85
22	55	88	64
23	56	83	33
24	53	80	85
25	38	60	80
26	77	86	71
27	48	86	83
28	35	82	56
29	44	90	74
30	66	82	77
31	63	82	58
32	57	86	0
33	47	88	62
34	22	85	71
35	78	88	53
36	38	76	79
37	60	85	77
38	72	75	88
39	53	76	81
40	87	88	89
41	63	78	68
42	68	80	80
43	67	90	88
44	49	86	91
45	89	60	79
46	74	75	69
47	49	86	65
48	47	65	79
49	48	87	73
50	20	90	84
